,Player,Year,Age,MP,G,FGA,Load,Pts/75,rTS%,Box Creation,Passer Rating,Spacing,cTOV%,ScoreVal,PlayVal,FTA/100,FT%,3p Pro,rORB%,rDREB%,OBPM,BPM,IA Pts/75,IA PPG,IA APG,IA RPG,allStar,1stAS_yr,yr2AS
973,Shawn Bradley,1994,21.0,1385,49,17.8,29.8,13.7,-0.08199999999999999,3.0,3.3,73.0,0.18100000000000002,-1.8,-1.0,6.1,0.61,0.0,1.3,2.9,-2.4,-0.5,14.3,10.2,1.8,5.9,0,,
974,Shawn Kemp,1990,20.0,1120,81,19.1,29.2,17.7,-0.006,0.6,1.3,85.0,0.16399999999999998,-0.6,-1.5,7.1,0.74,0.04,8.3,8.2,-0.8,1.4,18.0,6.4,0.3,4.3,1,1993.0,3.0
975,Shawn Marion,2000,21.0,1260,51,19.1,26.0,15.8,-0.012,0.6,3.7,94.0,0.081,-0.4,-0.9,3.4,0.85,0.08,3.7,5.5,0.4,1.6,16.8,10.4,1.3,6.1,1,2003.0,3.0
976,Shelvin Mack,2012,21.0,779,64,14.7,29.0,11.5,-0.059000000000000004,3.6,6.8,96.0,0.11,-1.4,0.1,3.9,0.71,0.25,-3.7,-2.9,-2.9,-2.3,12.1,3.9,2.2,1.4,0,,
977,Sherman Douglas,1990,23.0,2470,81,18.0,37.5,16.7,-0.003,5.3,6.3,74.0,0.125,-0.8,0.2,6.3,0.69,0.05,-3.4,-7.3,-0.5,-0.6,17.0,13.4,6.8,2.4,0,,
979,Sidney Green,1984,23.0,667,49,16.4,25.5,13.8,-0.055999999999999994,0.8,2.0,73.0,0.16899999999999998,-1.5,-1.4,5.6,0.71,0.0,3.2,6.9,-2.5,-1.8,14.1,5.1,0.5,3.6,0,,
980,Sidney Moncrief,1980,22.0,1557,77,13.6,25.3,14.8,0.033,0.2,3.5,79.0,0.139,-0.1,-0.8,8.8,0.8,0.0,4.4,-0.8,0.5,-0.7,15.5,8.2,1.6,4.2,1,1982.0,2.0
981,Sidney Wicks,1972,22.0,3245,82,24.1,39.6,19.8,-0.027999999999999997,2.3,4.0,77.0,0.132,0.0,-0.1,8.2,0.71,,1.2,7.4,0.2,-1.6,22.0,20.5,3.6,8.4,1,1972.0,0.0
983,Sleepy Floyd,1983,22.0,754,33,19.0,32.1,17.7,-0.01,2.1,4.4,102.0,0.125,-0.7,-0.4,8.3,0.83,0.18,-1.9,-6.0,-0.3,-1.0,17.9,7.8,1.6,1.7,0,,
984,Slick Leonard,1957,24.0,1943,72,18.7,28.4,12.8,-0.042,1.8,4.1,77.0,0.11800000000000001,-0.3,0.0,5.2,0.77,,-5.5,-5.8,-0.6,-1.6,16.0,11.7,2.9,2.1,0,,
985,Spencer Hawes,2008,19.0,931,71,17.3,24.5,13.7,-0.054000000000000006,2.0,5.1,90.0,0.12300000000000001,-1.1,-0.5,3.2,0.66,0.1,3.5,5.4,-1.0,-1.3,14.0,4.6,0.6,3.1,0,,
987,Spud Webb,1986,22.0,1229,79,16.1,40.5,18.1,0.037000000000000005,6.9,3.1,82.0,0.153,-0.2,-0.4,10.7,0.79,0.04,-4.1,-4.9,0.1,1.6,18.6,7.7,3.9,1.6,0,,
988,Stacey Augmon,1992,23.0,2505,82,17.6,28.2,16.1,-0.005,1.9,4.0,67.0,0.124,-0.5,-0.6,6.3,0.67,0.01,1.3,-3.5,0.2,-0.4,16.3,12.7,2.2,4.8,0,,
989,Stacey King,1990,23.0,1777,82,14.8,24.3,15.2,0.025,1.5,2.7,79.0,0.136,0.0,-0.9,7.5,0.73,0.0,4.8,0.7,0.2,-0.1,15.5,8.7,1.0,4.6,0,,
990,Stephen Curry,2010,21.0,2896,80,18.9,35.4,17.3,0.025,6.3,5.9,132.0,0.113,-0.2,0.4,3.3,0.89,0.44,-3.5,-2.7,1.3,1.7,17.7,16.4,5.8,4.1,1,2014.0,4.0
991,Stephen Jackson,2001,22.0,1660,77,18.0,29.6,15.0,-0.015,2.7,4.2,111.0,0.138,-0.8,-0.6,4.3,0.72,0.33,-2.8,-2.5,-0.8,-1.1,16.0,8.4,1.8,2.5,0,,
992,Stephon Marbury,1997,19.0,2324,67,19.8,44.1,18.1,-0.017,7.8,7.3,108.0,0.109,-0.5,1.0,7.7,0.73,0.35,-3.4,-7.2,1.4,0.9,18.6,15.9,7.6,2.7,1,2001.0,4.0
993,Steve Blake,2004,23.0,1392,75,15.2,30.6,12.5,-0.006999999999999999,4.0,5.7,119.0,0.157,-1.4,-0.5,2.5,0.82,0.37,-4.3,-6.1,-1.0,-2.5,13.3,6.1,2.8,1.5,0,,
994,Steve Colter,1985,22.0,1462,78,15.1,29.4,13.2,-0.023,3.2,5.9,104.0,0.122,-0.8,0.1,4.1,0.75,0.29,-3.5,-5.0,-0.1,-0.5,13.5,6.6,2.7,1.9,0,,
995,Steve Francis,2000,22.0,2776,77,20.5,42.1,19.1,0.02,6.0,5.4,113.0,0.133,-0.2,0.2,6.7,0.79,0.34,0.5,-4.0,2.2,1.9,20.3,18.3,6.4,5.0,1,2002.0,2.0
996,Steve Hawes,1975,24.0,897,55,14.5,24.6,12.6,0.034,1.1,4.8,98.0,0.152,0.3,0.0,2.8,0.82,,3.9,10.4,0.1,0.1,14.3,5.7,1.5,4.3,0,,
997,Steve Johnson,1982,24.0,1741,78,17.4,30.2,20.3,0.09699999999999999,2.0,1.6,77.0,0.175,0.9,-1.1,8.9,0.64,0.0,2.9,6.9,-0.1,1.7,20.9,12.2,1.1,5.7,0,,
998,Steve Kerr,1990,24.0,1664,78,13.1,25.3,11.9,0.023,3.6,6.6,136.0,0.087,-0.5,0.4,2.2,0.86,0.49,-5.6,-7.8,0.5,-0.6,12.1,6.7,3.0,1.3,0,,
999,Steve Kuberski,1970,22.0,797,51,17.2,24.3,12.5,-0.08,0.5,2.5,76.0,0.136,-0.7,-0.8,4.8,0.7,,3.1,6.4,-1.7,-2.8,13.9,5.2,0.5,3.7,0,,
1000,Steve Mix,1971,23.0,731,35,14.6,22.6,12.8,0.003,0.7,2.7,78.0,0.14800000000000002,-0.1,-0.7,5.2,0.76,,0.9,0.6,-0.6,-1.1,14.4,7.2,0.9,3.5,1,1975.0,4.0
1001,Steve Nash,1997,22.0,684,65,13.2,32.3,12.0,0.003,4.8,6.5,123.0,0.146,-1.0,0.2,3.8,0.82,0.4,-3.4,-5.8,-0.2,-1.4,12.4,3.2,2.0,0.9,1,2002.0,5.0
1002,Steve Smith,1992,22.0,1806,61,17.8,32.7,14.9,-0.018000000000000002,3.6,6.8,104.0,0.125,-0.7,0.3,3.5,0.75,0.3,-1.7,-6.7,0.7,-0.1,15.1,11.4,4.1,2.9,1,1998.0,6.0
1003,Stromile Swift,2001,21.0,1312,80,13.5,19.9,11.7,-0.031,0.7,2.3,66.0,0.13,-1.2,-1.3,5.6,0.6,0.0,4.0,0.7,-1.5,0.2,12.5,5.0,0.3,3.3,0,,
1004,Stu Lantz,1969,22.0,1378,73,13.6,21.9,12.1,0.021,1.2,3.1,76.0,0.14300000000000002,-0.2,-0.6,4.8,0.77,,-1.2,-3.5,-0.9,-0.5,14.2,6.4,1.2,2.1,0,,
1005,Swen Nater,1977,27.0,1960,72,16.4,25.8,15.9,0.057,1.0,2.7,91.0,0.151,0.8,-0.6,5.2,0.75,,7.6,18.2,0.3,0.7,17.5,12.2,1.4,10.4,0,,
1006,T.J. Ford,2004,20.0,1472,55,14.2,33.0,10.4,-0.073,4.5,6.5,90.0,0.149,-1.4,0.1,3.5,0.82,0.08,-2.8,-3.5,0.2,-0.7,11.2,7.4,6.5,3.0,0,,
1007,T.R. Dunn,1978,22.0,768,63,14.4,20.7,10.7,-0.067,0.2,3.8,65.0,0.102,-0.7,-0.5,3.4,0.66,0.0,2.3,-2.5,-1.1,-1.2,11.6,4.7,0.9,2.7,0,,
1008,Taj Gibson,2010,24.0,2204,82,14.7,21.1,12.9,-0.022000000000000002,0.5,1.8,70.0,0.128,-0.8,-1.4,4.1,0.65,0.0,6.3,4.5,-0.9,-0.1,13.2,9.1,0.9,7.4,0,,
1010,Terrell Brandon,1992,21.0,1605,82,18.9,34.6,14.3,-0.07,5.0,5.3,82.0,0.124,-1.0,0.2,3.9,0.81,0.01,-3.1,-5.8,-0.9,-1.3,14.6,7.3,3.6,1.9,1,1996.0,4.0
1011,Terrence Ross,2013,21.0,1239,73,19.6,25.4,15.0,-0.044000000000000004,1.7,3.1,103.0,0.083,-0.9,-1.0,1.8,0.71,0.33,-2.0,-4.1,-0.8,-1.8,15.6,6.9,0.8,2.0,0,,
1012,Terry Catledge,1986,22.0,1092,64,18.9,26.2,16.2,-0.039,0.6,1.6,70.0,0.114,-0.5,-1.2,6.1,0.65,0.0,4.5,3.4,-1.2,-2.2,16.6,7.6,0.3,4.3,0,,
1013,Terry Cummings,1983,21.0,2531,70,24.1,35.7,23.0,0.026000000000000002,2.0,3.3,77.0,0.106,1.0,-0.5,7.6,0.71,0.0,5.9,8.3,1.5,2.3,24.2,23.2,2.3,10.3,1,1985.0,2.0
1014,Terry Davis,1990,22.0,884,63,14.1,21.5,12.0,-0.040999999999999995,0.4,2.0,68.0,0.172,-1.7,-1.5,4.7,0.62,0.0,4.8,4.1,-2.5,-1.6,12.2,4.4,0.3,3.4,0,,
1015,Terry Dischinger,1963,22.0,2294,57,19.2,33.0,20.4,0.086,2.0,2.6,78.0,0.141,1.6,-0.4,9.8,0.77,,-1.1,-2.6,2.1,0.7,22.7,22.8,3.0,5.0,1,1963.0,0.0
1016,Terry Mills,1991,23.0,540,38,15.0,20.7,12.5,-0.035,0.6,3.0,77.0,0.106,-0.7,-0.9,3.9,0.71,0.0,3.0,5.8,-1.4,-1.3,13.5,5.2,0.5,3.7,0,,
1017,Terry Porter,1986,22.0,1214,79,16.9,32.3,16.0,0.004,4.0,5.5,101.0,0.124,-0.5,0.1,5.9,0.81,0.21,-3.2,-5.8,-0.2,-0.1,16.4,6.7,2.2,1.4,1,1991.0,5.0
1018,Terry Teagle,1983,22.0,1708,73,21.3,31.4,15.7,-0.073,2.1,4.2,82.0,0.121,-1.2,-0.5,3.4,0.7,0.13,-2.3,-5.3,-2.3,-3.7,16.5,10.3,1.9,2.6,0,,
1019,Terry Tyler,1979,22.0,2560,82,16.5,22.7,13.9,-0.023,0.7,2.6,69.0,0.11,-0.1,-0.8,3.8,0.66,0.0,1.7,4.9,-0.7,0.6,14.8,11.9,1.0,7.2,0,,
1020,Thabo Sefolosha,2007,22.0,868,71,15.1,23.6,11.3,-0.077,1.5,3.4,80.0,0.14800000000000002,-1.6,-1.0,2.7,0.51,0.3,-0.8,0.8,-2.2,-1.8,11.7,3.6,0.8,2.1,0,,
1021,Thaddeus Young,2008,19.0,1554,74,16.7,23.0,15.6,0.03,0.7,4.2,90.0,0.096,0.1,-0.7,3.5,0.74,0.09,3.8,0.1,0.6,0.9,16.0,8.5,0.8,4.2,0,,
1022,Theo Ratliff,1996,22.0,1305,75,9.6,14.8,10.7,0.061,0.3,1.6,85.0,0.155,-0.6,-1.5,5.0,0.71,0.0,4.5,2.8,-1.1,-0.1,11.0,4.8,0.2,4.1,1,2001.0,5.0
1023,Thurl Bailey,1984,22.0,2009,81,13.4,20.0,11.9,-0.004,1.3,4.3,82.0,0.12,-0.2,-0.4,2.7,0.75,0.0,-0.2,3.9,-0.6,0.4,12.1,7.9,1.3,5.5,0,,
1024,Tim Duncan,1998,21.0,3204,82,21.8,35.0,22.0,0.053,3.0,3.2,72.0,0.134,0.8,-0.6,8.2,0.66,0.0,4.2,10.1,1.7,3.8,23.0,22.4,2.8,11.8,1,1998.0,0.0
1025,Tim Hardaway,1990,23.0,2663,79,16.8,36.1,14.9,-0.012,6.2,6.3,93.0,0.122,-0.6,0.6,4.7,0.76,0.17,-4.0,-4.0,0.5,1.0,15.1,13.2,7.4,3.5,1,1991.0,1.0
1026,Tim McCormick,1985,22.0,1584,78,14.7,24.8,16.7,0.063,1.6,2.5,86.0,0.141,0.2,-1.0,8.0,0.72,0.0,4.1,5.0,-0.6,-1.5,17.0,9.0,0.9,5.1,0,,
1027,Tim Perry,1989,23.0,614,62,15.0,21.8,14.4,0.023,0.8,2.0,78.0,0.129,0.0,-1.1,4.9,0.62,0.04,4.4,-1.6,-0.7,-1.5,14.7,3.7,0.2,1.9,0,,
1028,Tim Thomas,1998,20.0,1779,77,20.4,31.0,18.9,0.013999999999999999,1.8,3.0,112.0,0.113,-0.1,-0.9,6.9,0.74,0.36,0.6,-1.9,0.4,-0.4,19.8,11.4,1.2,3.6,0,,
1030,Tiny Archibald,1971,22.0,2867,82,15.3,29.8,13.7,0.006999999999999999,3.3,4.4,76.0,0.14400000000000002,-0.1,0.1,6.3,0.76,,-3.7,-7.5,-0.2,-1.1,15.7,13.1,4.6,2.1,0,,
1032,Toby Kimball,1968,25.0,2519,81,14.0,22.4,10.4,-0.066,0.2,2.9,64.0,0.171,-0.9,-0.7,4.8,0.59,,3.5,10.1,-1.7,-1.7,11.8,9.1,1.7,6.9,0,,
1033,Tom Boerwinkle,1969,23.0,2365,80,14.9,23.8,10.5,-0.071,1.1,4.2,78.0,0.16,-0.8,-0.2,4.0,0.65,,3.4,10.7,-1.3,0.0,12.1,8.5,2.1,7.7,0,,
1034,Tom Chambers,1982,22.0,2682,81,18.6,29.5,18.5,0.015,2.1,2.7,67.0,0.132,0.3,-0.7,8.1,0.62,0.0,2.5,2.6,0.1,-1.0,19.0,16.4,1.6,6.7,1,1987.0,5.0
1035,Tom Gola,1956,23.0,2346,68,11.2,26.3,10.3,0.038,1.0,6.5,72.0,0.16399999999999998,0.0,0.5,6.3,0.73,,-1.3,1.7,1.4,2.5,12.5,11.8,5.8,6.1,1,1960.0,4.0
1036,Tom Gugliotta,1993,23.0,2795,81,20.0,32.7,15.7,-0.064,2.2,5.9,96.0,0.122,-0.9,0.0,4.9,0.64,0.23,2.3,9.5,0.0,0.0,16.0,13.9,3.4,9.0,1,1997.0,4.0
1037,Tom Hammonds,1990,22.0,805,61,17.7,26.5,14.5,-0.062,1.4,4.1,70.0,0.106,-0.9,-0.5,5.9,0.64,0.0,1.7,0.9,-1.2,-2.8,14.7,5.0,0.8,2.6,0,,
1038,Tom Hawkins,1960,23.0,1467,69,15.7,22.3,11.1,-0.044000000000000004,0.2,2.6,66.0,0.142,-0.8,-0.8,4.4,0.65,,-0.7,1.8,-1.2,-1.8,13.2,7.3,0.8,3.6,0,,
1039,Tom Heinsohn,1957,22.0,2150,72,21.2,30.6,16.5,0.006999999999999999,0.9,3.1,86.0,0.115,0.7,-0.4,6.4,0.79,,-1.7,4.7,0.4,1.8,20.9,16.9,2.0,6.6,1,1957.0,0.0
1040,Tom Henderson,1975,23.0,2131,79,18.9,33.3,14.3,-0.051,3.1,5.3,70.0,0.126,-0.6,0.2,5.1,0.7,,-3.8,-6.2,-0.3,-1.5,15.9,10.5,3.5,2.2,0,,
1041,Tom McMillen,1976,23.0,708,50,13.9,23.8,10.9,-0.03,1.1,5.2,91.0,0.159,-0.4,0.1,3.3,0.76,,3.7,3.5,-0.9,-0.6,12.6,4.5,1.3,3.2,0,,
1043,Tom Sanders,1961,22.0,1084,68,11.6,17.1,9.0,-0.011000000000000001,0.2,2.8,68.0,0.154,-0.5,-0.7,3.3,0.67,,1.8,3.5,-1.3,-0.5,11.0,4.4,0.6,3.1,0,,
1044,Tom Van Arsdale,1966,22.0,2041,79,15.9,26.6,11.9,-0.054000000000000006,1.6,4.0,71.0,0.147,-1.0,-0.3,5.5,0.72,,-2.5,-4.4,-1.5,-2.1,13.9,8.9,2.4,2.3,1,1970.0,4.0
1045,Toni Kukoc,1994,25.0,1808,75,21.0,37.8,17.6,-0.031,4.1,6.3,101.0,0.127,-0.7,0.2,6.1,0.74,0.25,-0.1,-0.7,0.4,0.7,18.3,11.2,3.2,3.9,0,,
1046,Tony Allen,2005,23.0,1262,77,15.8,24.9,15.1,0.013000000000000001,0.5,3.8,95.0,0.125,-0.7,-1.0,6.2,0.74,0.22,2.3,-2.0,0.1,1.2,15.6,6.4,0.8,2.7,0,,
1047,Tony Battie,1998,21.0,1506,65,18.7,26.4,14.5,-0.047,1.3,2.9,86.0,0.132,-1.0,-1.1,3.7,0.7,0.05,4.2,3.5,-1.3,-0.8,15.2,8.7,0.9,5.3,0,,
1048,Tony Campbell,1985,22.0,625,56,19.2,29.1,17.3,-0.003,1.5,1.6,81.0,0.172,-0.7,-1.3,5.1,0.8,0.0,0.0,-5.0,-1.9,-1.7,17.7,5.2,0.4,1.5,0,,
1049,Tony Delk,1997,23.0,867,61,16.0,30.3,15.6,0.06,3.7,4.0,129.0,0.142,-0.3,-0.6,3.2,0.82,0.46,-1.7,-4.6,0.7,-0.9,16.1,5.6,1.6,1.6,0,,
1050,Tony Massenburg,1995,27.0,2127,80,14.4,21.6,13.3,-0.017,0.8,2.5,84.0,0.129,-0.8,-1.2,5.6,0.75,0.0,2.0,3.8,-1.5,-1.6,13.5,9.1,0.8,5.5,0,,
1051,Tony Parker,2002,19.0,2267,77,15.0,29.4,12.5,-0.023,4.2,6.0,99.0,0.12300000000000001,-0.8,0.2,3.8,0.68,0.32,-4.1,-6.2,0.5,0.9,13.1,9.4,4.3,2.4,1,2006.0,4.0
1052,Tony Smith,1991,22.0,695,64,16.1,32.5,12.9,-0.057,4.0,5.8,70.0,0.157,-1.3,-0.1,4.2,0.7,0.0,-2.3,-6.0,-1.4,-1.2,13.2,3.7,2.0,1.1,0,,
1053,Tracy McGrady,1998,18.0,1179,64,17.5,27.7,14.9,-0.019,1.0,4.6,97.0,0.105,-0.8,-0.6,4.9,0.71,0.24,3.3,2.5,0.3,-0.3,15.6,7.1,1.5,4.0,1,2001.0,3.0
1055,Travis Best,1996,23.0,571,59,15.3,36.2,15.6,0.003,6.0,3.9,110.0,0.163,-0.9,-0.5,8.5,0.83,0.27,-3.6,-6.9,-0.6,-1.3,16.0,3.9,1.6,0.7,0,,
1056,Travis Outlaw,2005,20.0,793,59,18.0,25.9,16.1,0.003,1.8,5.1,83.0,0.1,-0.5,-0.4,5.1,0.65,0.13,0.4,-3.0,-0.2,0.2,16.7,5.6,0.6,2.0,0,,
1057,Tree Rollins,1978,22.0,1795,80,13.5,20.5,11.9,0.006,1.2,3.0,85.0,0.151,-0.2,-0.6,3.8,0.7,0.0,4.1,9.8,-1.1,2.4,12.9,9.6,1.2,8.1,0,,
1058,Trent Tucker,1983,23.0,1830,78,17.5,25.8,13.3,-0.046,1.8,5.8,84.0,0.07400000000000001,-0.4,0.2,1.7,0.67,0.18,-1.9,-4.2,0.0,0.2,14.0,8.7,2.4,2.8,0,,
1059,Trenton Hassell,2002,22.0,2237,78,14.9,23.1,12.1,-0.018000000000000002,1.6,4.3,110.0,0.10400000000000001,-0.8,-0.6,2.7,0.76,0.35,-2.5,-4.0,-0.4,-1.4,12.7,8.9,2.2,3.0,0,,
1060,Trevor Ariza,2005,19.0,1382,80,14.9,24.2,13.4,-0.026000000000000002,1.4,4.3,76.0,0.11599999999999999,-0.9,-0.7,6.7,0.7,0.06,1.8,-1.2,-0.4,0.0,13.9,6.0,1.1,2.9,0,,
1061,Trevor Booker,2011,23.0,1063,65,12.2,18.1,12.5,0.040999999999999995,0.3,2.8,73.0,0.1,-0.6,-1.2,4.9,0.67,0.0,4.9,2.3,-0.4,-0.8,12.8,5.4,0.6,3.8,0,,
1062,Trey Burke,2014,21.0,2262,70,20.8,36.3,15.6,-0.068,6.1,7.2,124.0,0.083,-1.2,0.6,2.6,0.9,0.33,-3.3,-5.9,0.2,-1.1,16.1,13.8,6.2,3.1,0,,
1063,Tristan Thompson,2012,20.0,1424,60,16.3,23.9,13.7,-0.057999999999999996,0.3,1.8,60.0,0.125,-1.4,-1.6,7.1,0.55,0.0,9.0,2.2,-1.8,-2.3,14.4,9.0,0.5,6.6,0,,
1064,Troy Hudson,1999,22.0,524,25,15.4,32.0,13.0,-0.004,4.1,6.7,121.0,0.122,-1.1,0.1,3.9,0.9,0.31,-2.8,-4.4,0.4,-2.2,14.0,7.3,3.9,2.1,0,,
1065,Troy Murphy,2002,21.0,1448,82,14.8,22.9,12.6,-0.032,1.1,3.8,90.0,0.127,-1.1,-0.9,5.5,0.78,0.05,1.3,2.8,-1.1,-1.2,13.3,5.7,0.8,3.5,0,,
1066,Truck Robinson,1975,23.0,995,76,17.8,25.6,15.1,-0.004,0.9,2.5,57.0,0.122,0.0,-0.9,5.3,0.52,,3.5,6.9,-0.5,-0.5,17.4,5.6,0.5,3.4,1,1978.0,3.0
1067,Ty Lawson,2010,22.0,1318,65,15.0,30.6,15.6,0.057,4.6,4.9,114.0,0.105,-0.2,-0.1,5.4,0.76,0.38,-1.6,-7.6,1.4,0.0,16.0,8.3,3.2,1.9,0,,
1068,Tyler Zeller,2013,23.0,2033,77,14.3,21.1,11.7,-0.049,1.2,3.4,92.0,0.114,-0.7,-0.9,4.0,0.76,0.0,3.4,2.0,-0.9,-0.9,12.2,8.4,1.3,5.7,0,,
1069,Tyreke Evans,2010,20.0,2677,72,22.2,40.5,20.8,-0.013999999999999999,6.6,6.1,96.0,0.10099999999999999,-0.4,0.5,8.9,0.75,0.22,-2.5,-1.1,1.1,1.5,21.3,20.2,6.0,5.1,0,,
1070,Tyrone Corbin,1987,24.0,732,31,17.0,27.1,13.3,-0.069,1.5,4.6,74.0,0.111,-1.0,-0.5,4.3,0.73,0.0,1.3,-1.2,-1.3,-0.9,12.4,6.0,1.3,3.2,0,,
1071,Tyrone Hill,1991,22.0,1192,74,11.6,18.0,11.4,-0.001,0.3,1.7,72.0,0.155,-0.7,-1.5,5.9,0.63,0.0,8.0,7.4,-1.1,0.4,11.6,4.8,0.2,4.7,1,1995.0,4.0
1073,Tyrus Thomas,2007,20.0,966,72,15.0,26.8,14.9,-0.02,1.3,2.0,66.0,0.18600000000000003,-1.3,-1.4,9.3,0.61,0.0,5.2,6.5,-2.1,2.2,15.3,5.1,0.6,3.6,0,,
1075,Udonis Haslem,2004,23.0,1795,75,13.6,20.1,12.5,0.005,0.3,2.2,83.0,0.109,-0.3,-1.3,5.6,0.77,0.0,6.4,4.4,0.0,-0.5,13.4,8.0,0.7,6.2,0,,
1076,Vern Fleming,1985,22.0,2486,80,16.9,28.0,15.5,-0.017,1.9,4.2,77.0,0.128,-0.7,-0.5,6.2,0.77,0.0,-0.4,-5.9,-0.9,-1.7,15.9,12.9,2.6,3.8,0,,
1077,Vernon Maxwell,1989,23.0,2065,79,18.5,32.8,15.5,-0.040999999999999995,3.4,5.8,96.0,0.122,-1.0,0.0,5.4,0.75,0.22,-4.1,-4.9,-1.3,-2.1,15.9,10.6,3.2,2.3,0,,
1078,Vin Baker,1994,22.0,2560,82,17.2,27.7,16.4,-0.002,2.0,3.9,66.0,0.115,-0.4,-0.7,8.2,0.57,0.01,5.4,2.7,0.1,0.2,17.1,13.5,1.8,7.3,1,1995.0,1.0
1079,Vince Carter,1999,22.0,1760,50,23.5,36.9,21.1,0.005,3.2,4.5,100.0,0.092,0.3,-0.2,8.2,0.76,0.22,0.1,-1.4,1.7,2.2,22.7,20.0,3.2,5.5,1,2000.0,1.0
1080,Vincent Askew,1992,25.0,1496,80,11.8,22.2,11.6,0.023,1.7,6.1,70.0,0.11699999999999999,-0.5,-0.1,5.0,0.69,0.01,0.0,-3.1,0.5,-0.1,11.8,5.6,2.0,2.6,0,,
1081,Vinnie Johnson,1981,24.0,2311,81,16.3,30.6,16.4,0.049,1.7,4.4,79.0,0.147,0.0,-0.4,5.6,0.79,0.01,2.7,-5.3,0.9,-0.1,17.1,12.7,3.8,4.5,0,,
1082,Vinny Del Negro,1989,22.0,1556,80,15.4,25.6,13.1,-0.017,3.0,6.2,93.0,0.094,-0.7,0.1,3.1,0.85,0.09,-3.3,-4.8,-0.6,-0.6,13.4,6.7,2.3,2.0,0,,
1083,Vitaly Potapenko,1997,21.0,1238,80,19.8,30.1,16.3,-0.05,1.4,1.7,91.0,0.16899999999999998,-1.4,-1.5,5.8,0.74,0.02,4.7,-1.8,-2.5,-1.0,16.8,6.4,0.5,2.8,0,,
1085,Vladimir Radmanovic,2002,21.0,1230,61,15.5,24.5,13.4,0.008,1.7,4.0,120.0,0.131,-0.5,-0.7,3.2,0.68,0.42,-1.4,3.2,0.3,1.2,14.1,6.9,1.3,3.6,0,,
1086,Voshon Lenard,1997,23.0,2111,73,17.6,27.3,17.3,0.078,3.2,4.0,122.0,0.10300000000000001,0.6,-0.4,2.7,0.82,0.41,-4.0,-3.9,1.4,1.8,17.9,12.7,2.2,2.9,0,,
1087,Wali Jones,1965,22.0,1250,77,13.6,26.1,10.1,-0.047,2.1,5.3,72.0,0.142,-0.9,0.1,4.5,0.73,,-2.7,-6.8,-0.8,-1.1,11.6,4.7,2.7,1.1,0,,
1088,Wally Szczerbiak,2000,22.0,2171,73,16.1,25.5,15.3,0.048,2.5,5.2,116.0,0.078,0.5,0.0,3.9,0.83,0.27,-1.1,-4.3,2.0,1.5,16.2,12.1,2.7,3.6,1,2002.0,2.0
1089,Wally Walker,1977,22.0,627,66,21.6,33.4,18.1,-0.022000000000000002,2.0,3.9,68.0,0.115,0.0,-0.3,7.0,0.67,,1.1,-3.4,0.1,-0.8,20.2,4.9,0.7,1.4,0,,
1090,Walt Bellamy,1962,22.0,3344,79,22.0,35.6,22.0,0.075,1.9,1.9,77.0,0.141,1.6,-0.7,10.0,0.64,,1.7,10.3,1.0,1.7,25.1,25.3,2.4,10.2,1,1962.0,0.0
1091,Walt Frazier,1968,22.0,1588,74,14.7,30.8,12.9,-0.002,2.2,5.9,66.0,0.14300000000000002,-0.5,0.2,6.0,0.66,,-0.1,-1.7,0.5,0.3,14.5,7.7,4.0,2.6,1,1970.0,2.0
1092,Walt Hazzard,1965,22.0,919,66,14.1,25.7,9.7,-0.064,2.0,5.3,64.0,0.141,-0.9,0.1,3.3,0.65,,-3.3,-6.6,-0.8,-1.1,11.3,3.9,2.2,1.0,1,1968.0,3.0
1093,Walt Wesley,1967,22.0,909,64,14.9,21.8,10.5,-0.087,1.1,2.1,51.0,0.16,-0.9,-0.8,5.5,0.42,,4.2,5.9,-2.1,-2.4,12.0,4.2,0.3,3.1,0,,
1094,Walt Williams,1993,22.0,1673,59,23.4,40.0,21.4,-0.012,3.5,4.2,108.0,0.128,-0.3,-0.3,8.6,0.74,0.32,1.0,-3.2,0.5,0.3,21.8,15.6,2.6,4.1,0,,
1095,Walter Davis,1978,23.0,2590,81,24.8,38.6,24.5,0.062,3.3,3.4,86.0,0.122,1.6,-0.2,7.8,0.83,0.0,-0.2,-0.4,1.0,2.4,0.0,0.0,0.0,0.0,1,1978.0,0.0
1096,Walter Dukes,1956,25.0,1290,60,13.0,22.4,12.3,0.033,0.9,1.9,85.0,0.18600000000000003,0.2,-0.9,8.3,0.71,,0.6,7.3,-0.7,-0.3,14.7,8.6,0.7,5.0,1,1960.0,4.0
1097,Walter McCarty,1998,23.0,2340,82,16.1,25.6,13.0,-0.040999999999999995,1.3,4.8,110.0,0.121,-0.8,-0.4,4.3,0.74,0.3,0.2,-1.4,-0.1,1.3,13.6,9.6,2.1,4.2,0,,
1098,Wayman Tisdale,1986,21.0,2277,81,20.9,29.6,18.7,-0.002,1.5,1.9,74.0,0.132,-0.1,-1.0,4.9,0.68,0.0,2.7,5.1,-0.8,-1.5,19.2,14.4,0.9,7.2,0,,
1099,Wayne Cooper,1979,22.0,795,65,17.3,23.6,13.1,-0.066,0.5,2.2,77.0,0.131,-0.9,-1.0,3.6,0.67,0.0,5.5,12.4,-1.8,-2.8,14.0,4.4,0.3,4.1,0,,
