,Player,Year,Age,MP,G,FGA,Load,Pts/75,rTS%,Box Creation,Passer Rating,Spacing,cTOV%,ScoreVal,PlayVal,FTA/100,FT%,3p Pro,rORB%,rDREB%,OBPM,BPM,IA Pts/75,IA PPG,IA APG,IA RPG,allStar,1stAS_yr,yr2AS
1948,Ollie Johnson,1974,24.0,1718,79,11.2,20.0,9.6,0.018000000000000002,0.7,4.7,83.0,0.171,-0.4,-0.2,2.5,0.82,,0.7,-1.3,-0.5,-0.8,10.9,5.7,1.8,3.3,0,,
1949,Omer Asik,2012,25.0,971,66,8.7,16.8,8.6,-0.018000000000000002,1.0,2.4,55.0,0.226,-1.5,-1.4,5.7,0.46,0.0,9.5,10.5,-1.5,0.9,9.0,3.5,0.6,5.5,0,,
1950,Omri Casspi,2011,22.0,1702,71,16.2,22.1,13.6,-0.024,1.0,3.9,106.0,0.091,-0.6,-0.8,3.0,0.67,0.37,-0.5,1.3,-0.2,-0.8,13.9,8.6,1.1,4.2,0,,
1951,Orlando Woolridge,1983,23.0,1627,57,17.3,29.5,19.6,0.077,2.2,2.3,65.0,0.149,0.8,-0.9,9.5,0.64,0.0,1.3,-1.7,0.2,-0.6,20.6,15.7,1.5,4.9,0,,
1953,Othella Harrington,1998,24.0,903,58,15.5,23.3,15.3,0.023,0.9,2.1,82.0,0.11599999999999999,-0.2,-1.3,7.1,0.75,0.0,3.4,3.7,-0.2,-1.8,16.0,6.2,0.4,3.4,0,,
1954,Otis Birdsong,1979,23.0,2839,82,23.0,34.2,21.0,0.013999999999999999,2.4,4.1,72.0,0.094,0.8,-0.1,6.4,0.73,0.0,0.0,-6.4,0.8,1.5,22.3,19.9,2.9,3.9,1,1979.0,0.0
1955,Otis Thorpe,1986,23.0,1675,75,13.8,23.3,15.7,0.076,1.4,2.6,72.0,0.15,0.4,-0.8,7.0,0.66,0.0,2.8,5.5,-0.1,-0.5,16.1,9.6,1.0,5.5,1,1992.0,6.0
1956,Otto Moore,1970,23.0,2523,81,13.8,22.0,12.3,0.0,0.9,2.4,76.0,0.172,-0.1,-0.7,5.3,0.64,,4.9,10.9,-0.8,-0.4,13.3,10.0,1.1,8.3,0,,
1957,P.J. Brown,1995,25.0,2466,80,12.0,18.3,10.3,-0.051,1.0,4.6,86.0,0.09300000000000001,-0.5,-0.4,4.4,0.67,0.04,1.6,0.0,-0.3,1.4,10.4,8.2,1.6,6.1,0,,
1958,P.J. Tucker,2014,28.0,2490,81,12.4,19.2,11.5,-0.001,0.3,3.8,115.0,0.109,-0.4,-0.9,4.0,0.78,0.37,2.2,1.7,0.8,1.7,11.8,9.7,1.8,6.4,0,,
1959,Pat Cummings,1981,24.0,1084,74,19.7,30.8,19.1,0.036000000000000004,1.8,2.1,82.0,0.159,0.3,-0.9,6.0,0.71,0.0,3.5,6.1,-0.5,0.1,19.9,7.6,0.7,3.8,0,,
1960,Pat Garrity,2000,23.0,1479,82,19.5,26.6,16.9,0.009000000000000001,1.4,2.7,116.0,0.105,-0.3,-1.0,3.7,0.72,0.4,-2.6,-2.0,-0.3,-1.3,17.9,8.1,0.7,2.3,0,,
1961,Pat Riley,1969,23.0,1027,56,18.9,31.3,14.0,-0.048,2.7,4.7,67.0,0.127,-0.7,0.0,5.1,0.67,,-3.9,-6.7,-1.1,-1.0,16.5,7.2,2.1,1.3,0,,
1963,Patrick Patterson,2012,22.0,1483,64,18.0,22.7,13.0,-0.07,0.9,2.8,76.0,0.075,-0.8,-1.1,2.0,0.7,0.0,3.3,-0.9,-1.0,-1.1,13.6,8.4,0.9,4.5,0,,
1964,Patty Mills,2013,24.0,656,58,18.7,28.9,17.1,0.055,4.6,3.4,125.0,0.10400000000000001,-0.1,-0.6,1.5,0.84,0.4,-3.6,-7.9,0.4,-1.2,17.8,5.3,1.1,0.8,0,,
1965,Pau Gasol,2003,22.0,2948,82,19.6,32.5,20.5,0.051,3.6,3.9,84.0,0.114,0.8,-0.4,9.9,0.74,0.01,1.7,5.6,1.6,1.9,21.7,19.1,2.7,8.0,1,2006.0,3.0
1967,Paul George,2012,21.0,1958,66,17.3,28.4,16.2,0.027999999999999997,2.8,4.9,118.0,0.113,0.0,-0.2,4.9,0.8,0.38,-2.2,3.3,1.2,3.4,17.0,13.4,2.7,5.7,1,2013.0,1.0
1968,Paul Griffin,1978,24.0,1853,82,8.6,17.6,7.7,-0.009000000000000001,0.4,5.3,78.0,0.204,-1.2,-0.4,3.8,0.71,0.0,1.9,4.4,-1.3,0.3,0.0,0.0,0.0,0.0,0,,
1969,Paul Millsap,2008,22.0,1702,82,15.2,23.8,15.0,0.008,0.7,2.8,74.0,0.109,-0.1,-1.0,6.9,0.68,0.0,6.8,6.1,0.5,2.8,15.4,8.0,1.0,5.4,1,2014.0,6.0
1970,Paul Mokeski,1982,25.0,523,39,9.8,16.5,8.1,-0.048,0.7,3.2,91.0,0.207,-1.1,-0.9,2.9,0.76,0.0,0.6,6.5,-2.7,-0.3,9.0,3.1,0.5,3.0,0,,
1971,Paul Neumann,1963,25.0,1581,80,12.5,24.7,12.1,0.053,2.7,4.2,82.0,0.147,0.1,0.0,5.5,0.82,,-2.7,-5.6,-0.1,0.4,14.1,7.0,2.7,1.5,0,,
1972,Paul Pierce,2000,22.0,2583,73,21.6,35.5,21.0,0.027000000000000003,3.9,4.4,116.0,0.099,0.6,-0.2,8.8,0.8,0.34,-2.3,0.4,1.8,3.1,22.2,19.7,2.9,5.1,1,2002.0,2.0
1973,Paul Pressey,1984,25.0,1730,81,15.1,29.4,14.5,0.004,2.3,5.2,63.0,0.153,-0.5,-0.2,5.7,0.6,0.03,0.4,-2.0,0.0,2.4,14.8,8.3,2.9,3.6,0,,
1974,Paul Silas,1966,22.0,586,46,12.2,18.9,9.3,-0.049,0.2,2.6,62.0,0.174,-0.8,-0.8,4.2,0.57,,4.6,9.4,-1.5,-2.2,10.6,3.4,0.5,3.1,1,1972.0,6.0
1975,Paul Westphal,1974,23.0,1165,82,17.8,32.7,16.5,0.039,3.3,5.0,72.0,0.128,0.3,0.1,5.7,0.73,,-1.9,-6.3,0.7,1.0,19.0,6.5,1.8,1.4,1,1977.0,3.0
1976,Peja Stojakovic,2000,22.0,1749,74,19.8,28.2,18.2,0.036000000000000004,1.9,3.8,128.0,0.085,0.6,-0.6,4.2,0.88,0.37,-1.4,-2.1,1.1,0.6,19.2,11.4,1.3,3.3,1,2002.0,2.0
1977,Pervis Ellison,1991,23.0,1942,76,16.1,25.3,15.0,0.008,0.7,3.0,78.0,0.146,-0.4,-0.9,5.4,0.65,0.0,6.1,6.9,-0.5,0.7,15.3,10.0,1.2,7.4,0,,
1978,Pete Chilcutt,1993,24.0,834,59,19.4,27.7,15.5,-0.034,1.7,4.5,76.0,0.11199999999999999,-0.8,-0.6,2.6,0.7,0.0,3.9,2.2,-0.8,-1.3,15.8,5.6,0.9,3.0,0,,
1979,Pete Maravich,1972,24.0,2302,66,20.3,39.1,18.0,-0.002,4.0,5.1,80.0,0.136,0.1,0.5,8.2,0.81,,-3.4,-6.0,0.9,-0.2,20.2,16.5,5.1,2.9,1,1973.0,1.0
1980,Phil Chenier,1973,22.0,2776,71,21.3,32.6,16.7,-0.012,2.8,4.6,79.0,0.107,0.3,0.1,3.9,0.8,,-3.6,-7.2,0.9,0.5,19.3,17.9,3.6,3.2,1,1974.0,1.0
1981,Phil Hubbard,1981,24.0,2289,80,18.2,30.7,18.1,0.01,1.2,2.6,75.0,0.153,-0.3,-1.0,8.8,0.69,0.02,4.6,5.6,-0.9,-0.2,18.9,14.0,1.7,7.1,0,,
1982,Phil Jackson,1969,23.0,924,47,13.7,21.6,11.5,-0.012,0.6,2.8,73.0,0.154,-0.3,-0.7,5.5,0.67,,1.9,1.8,-0.6,0.3,13.2,6.2,0.9,3.7,0,,
1983,Phil Jordon,1959,25.0,2058,72,19.2,27.8,15.3,0.011000000000000001,1.1,2.4,87.0,0.132,0.4,-0.6,6.0,0.76,,-1.9,4.3,-0.3,-0.2,18.6,13.8,1.4,5.0,0,,
1984,Phil Smith,1976,23.0,2793,82,21.9,37.0,19.6,0.021,3.3,4.8,78.0,0.113,0.8,0.3,6.5,0.79,,-1.5,-5.7,1.8,2.0,22.1,18.9,4.2,3.8,1,1976.0,0.0
1985,Pooh Richardson,1991,24.0,3154,82,22.3,41.0,17.3,-0.042,5.6,7.9,80.0,0.071,-0.4,1.2,2.7,0.54,0.26,-3.7,-5.5,1.9,1.3,17.7,17.4,8.6,3.5,0,,
1986,Purvis Short,1980,22.0,1636,62,26.7,37.1,23.1,0.003,2.5,3.8,84.0,0.09699999999999999,0.4,-0.4,4.8,0.81,0.0,1.1,0.4,0.4,0.0,24.2,16.8,1.8,4.9,0,,
1987,Quentin Richardson,2002,21.0,2152,81,22.9,32.3,20.0,0.013999999999999999,2.0,4.1,113.0,0.077,0.4,-0.5,4.6,0.77,0.38,0.2,-2.7,1.8,0.8,21.0,13.6,1.6,3.9,0,,
1988,Quinn Buckner,1978,23.0,2072,82,14.3,30.3,12.2,-0.016,2.9,6.1,65.0,0.162,-0.6,0.4,4.3,0.65,0.0,-2.5,-4.8,-0.7,2.4,0.0,0.0,0.0,0.0,0,,
1989,Quintin Dailey,1984,23.0,2449,82,24.1,37.9,22.0,-0.012,4.1,3.9,84.0,0.113,-0.2,-0.3,7.8,0.81,0.04,-3.8,-5.1,-0.8,-1.0,22.4,17.7,2.8,2.9,0,,
1990,Raef LaFrentz,2001,24.0,2457,78,17.1,24.5,16.0,0.026000000000000002,1.2,3.2,123.0,0.08199999999999999,0.6,-0.8,5.5,0.7,0.33,2.0,5.0,1.2,2.1,17.1,13.0,1.3,7.1,0,,
1991,Rafer Alston,2003,26.0,980,47,18.3,38.0,14.9,-0.009000000000000001,5.8,7.0,108.0,0.124,-1.1,0.2,2.9,0.69,0.39,-3.4,-3.9,0.7,0.4,15.8,8.1,4.1,2.1,0,,
1992,Raja Bell,2003,26.0,1173,75,9.3,13.9,7.7,-0.01,0.3,3.2,100.0,0.136,-1.0,-1.1,1.5,0.68,0.34,-1.3,-5.1,-0.8,0.0,8.1,3.1,0.7,1.8,0,,
1993,Rajon Rondo,2008,21.0,2306,77,16.3,30.4,14.0,-0.025,4.2,5.3,66.0,0.11199999999999999,-0.7,0.1,4.0,0.61,0.05,-1.0,-2.8,0.4,2.7,14.3,10.8,5.3,4.1,1,2010.0,2.0
1995,Ramon Sessions,2009,22.0,2173,79,18.5,37.0,17.5,-0.019,6.7,7.0,86.0,0.09699999999999999,-0.7,0.7,8.4,0.79,0.07,-2.0,-3.0,0.8,1.1,17.8,12.6,6.1,3.4,0,,
1996,Randy Breuer,1985,24.0,1083,78,14.1,21.6,13.8,0.011000000000000001,1.8,2.6,84.0,0.13,-0.2,-0.9,5.6,0.7,0.0,2.9,3.3,-0.8,0.0,14.1,5.1,0.5,3.3,0,,
1997,Randy Brown,1993,24.0,1726,75,13.4,23.9,11.7,-0.025,1.9,4.6,81.0,0.138,-1.1,-0.6,4.3,0.73,0.03,-1.8,-4.4,-1.0,-0.2,11.9,6.9,2.2,2.5,0,,
1998,Randy Foye,2008,24.0,1259,39,19.2,32.7,15.9,-0.02,4.9,6.0,122.0,0.10099999999999999,-1.1,0.0,2.7,0.82,0.41,-4.1,-3.8,0.4,-0.5,16.3,13.3,4.3,3.2,0,,
1999,Randy Smith,1973,24.0,2603,82,19.2,34.4,15.1,-0.02,2.9,5.0,72.0,0.13699999999999998,-0.5,0.1,4.4,0.73,,-2.7,-2.8,-0.1,-1.6,17.2,13.0,4.2,3.6,1,1976.0,3.0
2000,Randy Wittman,1985,25.0,1168,41,14.5,22.6,12.5,0.006,2.7,5.6,77.0,0.102,-0.6,-0.1,1.7,0.73,0.04,-5.1,-8.1,-0.4,-0.7,12.8,9.5,2.7,1.8,0,,
2001,Rashard Lewis,2001,21.0,2720,78,17.1,24.7,16.7,0.069,1.1,3.0,133.0,0.10099999999999999,0.9,-0.9,4.1,0.83,0.43,0.5,2.3,2.2,2.0,17.8,15.1,1.6,6.4,1,2005.0,4.0
2002,Rasheed Wallace,1997,22.0,1892,62,19.0,28.6,19.7,0.052000000000000005,2.3,2.4,82.0,0.11199999999999999,0.7,-0.9,7.4,0.64,0.12,1.7,4.3,0.9,1.9,20.3,15.2,1.2,6.5,1,2000.0,3.0
2003,Rasho Nesterovic,2001,24.0,1233,73,13.5,19.0,10.4,-0.046,1.5,3.3,63.0,0.121,-0.8,-0.9,2.8,0.52,0.0,3.5,3.1,-1.4,-0.2,11.1,4.6,0.6,3.6,0,,
2004,Rasual Butler,2004,24.0,675,45,20.2,26.2,18.5,0.07,2.3,2.8,123.0,0.08800000000000001,0.5,-1.0,1.7,0.76,0.46,-5.0,-4.3,0.5,-1.0,19.7,7.4,0.5,1.3,0,,
2005,Ray Allen,1998,22.0,3287,82,21.3,36.8,19.4,0.015,3.9,5.0,122.0,0.11699999999999999,0.1,0.0,6.3,0.88,0.36,-1.6,-3.3,1.7,1.5,20.3,20.3,4.3,4.8,1,2000.0,2.0
2007,Ray Scott,1963,24.0,2538,76,17.5,28.6,14.5,-0.024,1.3,3.2,73.0,0.149,-0.2,-0.4,7.2,0.67,,1.1,4.7,-0.5,-0.6,16.6,13.8,2.4,6.1,0,,
